Kirkland,Norman,Mildred,180,2,Salalah
Mcglothian,Paul,Rosalinda,411,0,Barcelona
Scheidecker,Joey,Josefina,402,0,Rizhao
Reese,Jon,Debra,361,2,Vancouver
Campbell,Michael,Sau,197,2,Kaohsiung
Smith,George,Kendra,167,3,Antwerp
Lynch,Fernando,Edward,281,2,Rotterdam
Valentin,Kim,Lyndsay,123,1,GuangzhouHarbor
Rios,Marion,Mabel,498,0,GuangzhouHarbor
Smith,Rosario,Eric,398,0,Ho-Chi-Minh
Martin,Bruce,Matthew,266,3,Santos
Lembrick,Roslyn,James,361,1,Rotterdam
Boggs,David,Vicente,444,0,GuangzhouHarbor
Riston,Kelly,Matilde,383,3,Kaohsiung
Ruiz,Wilma,Percy,220,3,Tanjung-Priok
Gier,Joshua,Cheryl,276,0,Tanjung-Pelepas
Papp,Joe,Keith,407,3,Xiamen
Jenkins,Susan,Calvin,174,2,Los-Angeles
Harris,Ellen,Adam,316,3,Yingkou
Hernandez,Steven,Kimberly,436,3,Shanghai
Trevino,Lucille,Joseph,175,0,Tanjung-Pelepas
Gingerich,Dallas,Eddie,470,2,Mundra
Baker,Melanie,Priscilla,264,2,HongKong
Edgar,Beverly,Clifford,413,1,Tanger-Med
Oneal,Helen,Lloyd,158,2,Tanjung-Pelepas
Mcilhinney,Stanley,Paul,247,2,Marsaxlokk
Maldonado,Richard,Victoria,465,0,Cai
Hall,David,Jason,231,2,Qingdao
Perez,Dianna,Lisa,186,0,NingboZhoushan
Fischer,Carolyn,Mary,129,0,Shenzhen
Roberts,Candy,Nicole,249,2,Tanger-Med
Pellham,Ron,Grace,117,2,Barcelona
Wilk,Michelle,Vera,465,1,Dalian
Smith,Jennifer,Lynn,198,1,Jawarharlal-Nehru
Cooper,Katherine,Mary,304,0,Tanger-Med
Munoz,Miguel,Angelo,321,3,Hanshin
Hammer,Henry,Charles,423,1,Ho-Chi-Minh
Turpin,Helen,Lee,358,0,Singapore
Barnes,Roger,Deborah,480,1,Marsaxlokk
Pearson,Kenneth,Keith,422,1,Piraeus
Macias,Henry,Marilyn,320,3,Shenzhen
Clark,Brian,David,313,3,Felixstowe
Cox,Melissa,Justin,486,2,Tanger-Med
Mcgurk,David,Edward,109,3,Jawarharlal-Nehru
Valdez,Patricia,Ian,242,2,Hanshin
Feliciano,Margaret,Gabrielle,108,1,Fuzhou
Harrington,Mark,Maria,194,2,Rizhao
Woods,Mark,Brandy,142,3,Tanger-Med
Ramirez,Tony,Samuel,457,0,Piraeus
Arnold,Daniel,Raymond,108,2,Tanger-Med
Ogden,Rhoda,Jose,488,0,Jawarharlal-Nehru
Fernandez,Analisa,Angela,358,3,Antwerp
Carbone,Ralph,Sabrina,439,3,Tanjung-Priok
